tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-11-29	21:30:03	29	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50	49.97	11.98	25	1
2015-11-29	21:32:11	31	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50	49.97	11.97	25	1
2015-11-29	21:35:08	433	49.95	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	49.97	11.98	25	1
2015-11-29	21:37:03	410	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	50	50.02	11.98	25	1
2015-11-29	21:39:04	406	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	50	49.97	11.97	25	1
2015-11-29	21:41:04	409	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	49.94	49.97	11.98	25	1
2015-11-29	21:43:04	409	50.18	-0.52	0.15	Hughes HX-50	6.61	13.59	19.58	24.16	49.94	49.92	11.98	25	1
2015-11-29	21:46:14	217.53	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.16	49.94	49.92	11.97	25	1
2015-11-29	21:48:05	217	50.18	-0.52	0.15	Hughes HX-50	6.61	13.57	19.58	24.13	49.94	49.92	11.97	25	1
2015-11-29	21:50:04	218.06	54.15	12.28	0.22	Hughes HX-50	6.62	13.57	19.61	24.16	53.87	53.88	11.98	25	1
2015-11-29	21:52:04	218.06	54.85	11.91	0.15	Hughes HX-50	6.62	13.59	19.61	24.16	54.67	54.64	11.98	25	1
2015-11-29	21:54:05	222.32	54.85	11.69	0.07	Hughes HX-50	6.62	13.57	19.61	24.16	54.78	54.69	11.98	26	1
2015-11-29	21:56:05	221.79	55.08	11.69	0.07	Hughes HX-50	6.62	13.57	19.61	24.16	54.78	54.74	11.98	27	1
2015-11-29	21:58:04	221.79	55.08	11.62	0.07	Hughes HX-50	6.62	13.57	19.61	24.19	54.84	54.74	11.98	27	1
2015-11-29	22:00:04	217.53	52.05	-0.52	0	Hughes HX-50	6.61	13.59	19.58	24.16	51.93	51.9	11.98	28	1
2015-11-29	22:02:14	213.81	51.35	-0.52	0.07	Hughes HX-50	6.61	13.59	19.58	24.16	51.29	51.36	11.98	27	1
2015-11-29	22:04:03	213.81	51.12	-0.52	0.07	Hughes HX-50	6.61	13.59	19.58	24.16	51.18	51.15	11.98	26	1
2015-11-29	22:06:04	215.94	51.12	-0.52	0.15	Hughes HX-50	6.61	13.59	19.61	24.16	51.13	51.04	11.97	26	1
2015-11-30	00:10:27	223.91	50.18	-0.52	0.15	NULL	6.59	13.54	19.55	24.07	50.21	50.18	11.95	23	1
2015-12-03	15:13:56	0	50.18	-0.52	0.22	Hughes HX-50	6.6	13.56	19.55	24.1	50.21	50.24	11.95	22	1
2015-12-03	15:16:05	0	50.18	-0.52	0.22	Hughes HX-50	6.6	13.56	19.55	24.1	50.21	50.24	11.95	23	1
2015-12-03	15:19:53	0	50.18	-0.96	0.67	Hughes HX-50	6.59	13.54	19.52	24.04	50	50.08	11.94	23	1
2015-12-03	15:35:38	0	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.49	24.07	50	50.08	11.94	23	1
2015-12-03	15:38:04	0	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:40:04	0	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:43:05	268.06	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
